Matricula_Aluno,Count,Country,State,Cidade,CEP,Lat Long,Latitude,Longitude,Genero,Aluno_Bolsista,Responsavel_com_Parceiro,Aluno_Possui_Dependentes,Meses_na_Escola,Participa_Atividade_Extra,Multiplas_Atividades_Extra,Modalidade_Ensino,Apoio_Psicopedagogico,Reforco_Escolar,Seguro_Material_Didatico,Suporte_TI_Plataforma,Acesso_Aulas_Gravadas,Acesso_Biblioteca_Digital,Tipo_Contrato_Matricula,Comunicados_Digitais,Forma_Pagamento_Mensalidade,Valor_Mensalidade,Total_Pago_Curso,Situacao,Desistencia,Risco_de_Desistencia,Valor_Total_Esperado_Aluno,Churn Reason
7622-FWGEW,1,United States,California,Costa Mesa,92626,"33.678591, -117.905471",33.678591,-117.905471,Male,Sim,Sim,Não,56,Sim,Não,Presencial,Sim,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Sim,Débito Automático,85.65,4824.45,Ativo,0,70,6500,
0320-JDNQG,1,United States,California,Oxnard,93035,"34.18454, -119.224666",34.18454,-119.224666,Male,Não,Sim,Não,23,Sim,Não,Híbrido,Sim,Não,Não,Sim,Sim,Sim,Mensal,Sim,Boleto Digital,99.85,2331.3,Desistente,1,83,3425,Don't know
3261-CQXOL,1,United States,California,Concord,94521,"37.971421, -121.971504",37.971421,-121.971504,Female,Não,Sim,Sim,71,Sim,Sim,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Débito Automático,25.45,1813.35,Ativo,0,37,4993,
7568-PODML,1,United States,California,Watsonville,95076,"36.931654, -121.752383",36.931654,-121.752383,Male,Não,Não,Não,1,Não,Não participa,Presencial,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Boleto Impresso,45.3,45.3,Desistente,1,69,4954,Lack of affordable download/upload speed
8685-WHQPW,1,United States,California,San Diego,92110,"32.76501, -117.19938",32.76501,-117.19938,Female,Sim,Não,Não,22,Sim,Sim,Híbrido,Não,Não,Não,Não,Não,Não,Mensal,Sim,Débito Automático,74.4,1692.6,Desistente,1,81,2407,Attitude of service provider
7493-GVFIO,1,United States,California,Stockton,95202,"37.959706, -121.287669",37.959706,-121.287669,Male,Não,Não,Não,57,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Cartão de Crédito Recorrente,20.55,1252.85,Ativo,0,48,4565,
8039-EQPIM,1,United States,California,Spring Valley,91977,"32.726627, -116.994608",32.726627,-116.994608,Male,Não,Sim,Não,69,Não,Não participa,Presencial,Sim,Não,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Não,Débito Automático,60.25,4055.5,Ativo,0,44,5717,
6771-XWBDM,1,United States,California,White Water,92282,"33.972293, -116.654195",33.972293,-116.654195,Female,Não,Sim,Não,57,Sim,Sim,Híbrido,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de Crédito Recorrente,104.5,5921.35,Desistente,1,80,4471,Product dissatisfaction
4381-MHQDC,1,United States,California,Solvang,93463,"34.624399, -120.137875",34.624399,-120.137875,Female,Não,Não,Não,47,Sim,Sim,Presencial,Sim,Não,Sim,Sim,Não,Não,Plano de Ciclo Completo,Sim,Boleto Impresso,65.0,2879.9,Ativo,0,40,3286,
5688-KZTSN,1,United States,California,San Diego,92121,"32.898613, -117.202937",32.898613,-117.202937,Male,Não,Sim,Sim,15,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Mensal,Sim,Boleto Digital,20.0,288.05,Desistente,1,73,4672,Network reliability
3689-MOZGR,1,United States,California,Irvine,92618,"33.667145, -117.732135",33.667145,-117.732135,Female,Não,Não,Não,29,Não,Não participa,Presencial,Não,Não,Não,Sim,Não,Não,Mensal,Sim,Boleto Digital,31.2,926.2,Ativo,0,39,4761,
6765-MBQNU,1,United States,California,Phillipsville,95559,"40.184094, -123.745487",40.184094,-123.745487,Female,Não,Sim,Não,26,Sim,Sim,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Anual,Não,Boleto Impresso,26.0,684.05,Ativo,0,20,2244,
5124-EOGYE,1,United States,California,Crestline,92325,"34.248061, -117.29028",34.248061,-117.29028,Male,Não,Não,Não,31,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Boleto Impresso,20.45,638.55,Ativo,0,35,2598,
5288-AHOUP,1,United States,California,Palm Desert,92260,"33.694501, -116.412711",33.694501,-116.412711,Male,Sim,Não,Não,11,Sim,Não,Híbrido,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Boleto Digital,78.5,874.2,Ativo,0,51,4333,
8434-PNQZX,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,Female,Não,Não,Não,42,Sim,Sim,Presencial,Não,Não,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,78.45,3373.4,Ativo,0,30,3192,
5010-IPEAQ,1,United States,California,Escalon,95320,"37.818543, -121.006907",37.818543,-121.006907,Female,Não,Sim,Sim,67,Não,Não participa,Presencial,Sim,Sim,Sim,Sim,Sim,Não,Plano de Ciclo Completo,Não,Cartão de Crédito Recorrente,54.2,3623.95,Ativo,0,58,5261,
1932-UEDCX,1,United States,California,Manchester,95459,"38.966713, -123.586412",38.966713,-123.586412,Male,Sim,Sim,Não,33,Sim,Sim,Híbrido,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Débito Automático,100.6,3270.25,Ativo,0,55,3669,
1226-JZNKR,1,United States,California,Santa Ynez,93460,"34.630356, -120.032564",34.630356,-120.032564,Female,Não,Sim,Não,8,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Anual,Não,Boleto Digital,19.8,160.05,Ativo,0,51,5698,
8098-LLAZX,1,United States,California,Jacumba,91934,"32.649787, -116.2237",32.649787,-116.2237,Female,Sim,Não,Não,4,Sim,Sim,Híbrido,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,95.45,396.1,Desistente,1,85,3677,Service dissatisfaction
0230-WEQUW,1,United States,California,Woodland Hills,91364,"34.153733, -118.593408",34.153733,-118.593408,Male,Não,Sim,Não,66,Não,Não participa,Presencial,Sim,Sim,Sim,Sim,Sim,Não,Plano de Ciclo Completo,Sim,Débito Automático,56.6,3789.2,Ativo,0,77,5500,
3143-ILDAL,1,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,Male,Não,Não,Não,56,Sim,Sim,Híbrido,Não,Sim,Não,Sim,Não,Sim,Mensal,Sim,Boleto Digital,94.45,5124.6,Desistente,1,96,4830,Attitude of support person
4795-KTRTH,1,United States,California,San Diego,92122,"32.85723, -117.209774",32.85723,-117.209774,Female,Sim,Sim,Não,5,Sim,Sim,Híbrido,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Boleto Digital,81.0,371.65,Desistente,1,99,4287,Product dissatisfaction
6330-JKLPC,1,United States,California,Somis,93066,"34.297628, -119.014627",34.297628,-119.014627,Male,Não,Sim,Não,11,Sim,Sim,Híbrido,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Débito Automático,80.5,896.9,Desistente,1,75,5119,Product dissatisfaction
2235-DWLJU,1,United States,California,Thousand Palms,92276,"33.849263, -116.382778",33.849263,-116.382778,Female,Sim,Não,Não,6,Não,Não participa,Presencial,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,44.4,263.05,Ativo,0,71,4611,
6479-SZPLM,1,United States,California,Anaheim,92805,"33.830209, -117.906099",33.830209,-117.906099,Male,Não,Sim,Sim,36,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Cartão de Crédito Recorrente,19.45,754.5,Ativo,0,39,5745,
0318-QUUOB,1,United States,California,Santa Rosa,95403,"38.488431, -122.752839",38.488431,-122.752839,Male,Não,Sim,Não,1,Sim,Não,Híbrido,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Boleto Digital,80.55,80.55,Desistente,1,91,4273,Service dissatisfaction
2896-TBNBE,1,United States,California,Guadalupe,93434,"34.936, -120.594655",34.936,-120.594655,Male,Não,Sim,Não,40,Sim,Não,Híbrido,Não,Sim,Sim,Não,Não,Não,Anual,Não,Boleto Digital,80.8,3132.75,Ativo,0,26,3387,
7080-TNUWP,1,United States,California,Arbuckle,95912,"38.982373, -122.047751",38.982373,-122.047751,Male,Não,Sim,Não,70,Sim,Sim,Híbrido,Não,Sim,Sim,Não,Sim,Não,Anual,Sim,Débito Automático,95.0,6602.9,Ativo,0,65,6259,
0723-FDLAY,1,United States,California,Gold Run,95717,"39.170376, -120.838404",39.170376,-120.838404,Male,Não,Não,Não,44,Sim,Sim,Presencial,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Débito Automático,85.25,3704.15,Ativo,0,57,2292,
9095-HFAFX,1,United States,California,Big Bear City,92314,"34.278967, -116.773825",34.278967,-116.773825,Female,Não,Não,Não,5,Sim,Não,Híbrido,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cartão de Crédito Recorrente,81.0,389.6,Desistente,1,96,3718,Competitor made better offer
7609-NRNCA,1,United States,California,Mountain Ranch,95246,"38.264262, -120.515133",38.264262,-120.515133,Female,Não,Não,Não,17,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Anual,Não,Boleto Impresso,19.55,280.85,Ativo,0,42,4947,
8749-TZYEC,1,United States,California,Yorba Linda,92887,"33.884073, -117.732197",33.884073,-117.732197,Male,Não,Sim,Não,72,Sim,Sim,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Cartão de Crédito Recorrente,24.8,1874.3,Ativo,0,71,6251,
5092-STPKP,1,United States,California,Platina,96076,"40.367964, -122.937379",40.367964,-122.937379,Female,Não,Não,Não,24,Sim,Não,Presencial,Sim,Não,Não,Sim,Não,Não,Mensal,Não,Cartão de Crédito Recorrente,56.35,1381.2,Ativo,0,42,5128,
9851-QXEEQ,1,United States,California,Bangor,95914,"39.396585, -121.38029",39.396585,-121.38029,Male,Não,Não,Não,41,Sim,Sim,Híbrido,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Boleto Digital,104.7,4346.4,Desistente,1,84,3316,Competitor offered more data
2160-GPFXD,1,United States,California,Davis,95618,"38.544002, -121.685559",38.544002,-121.685559,Male,Não,Sim,Sim,54,Sim,Sim,Presencial,Sim,Sim,Não,Sim,Não,Não,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,65.65,3566.7,Ativo,0,49,5725,
4116-IQRFR,1,United States,California,Cressey,95312,"37.420273, -120.66527",37.420273,-120.66527,Male,Não,Sim,Sim,4,Sim,Sim,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Anual,Não,Cartão de Crédito Recorrente,24.1,73.1,Ativo,0,21,4463,
0811-GSDTP,1,United States,California,Alameda,94502,"37.724817, -122.224363",37.724817,-122.224363,Female,Não,Não,Sim,13,Não,Não participa,Presencial,Não,Sim,Não,Não,Não,Não,Mensal,Não,Boleto Digital,30.15,382.2,Ativo,0,22,3540,
4625-XMOYM,1,United States,California,Annapolis,95412,"38.731055, -123.316553",38.731055,-123.316553,Female,Não,Sim,Sim,72,Sim,Sim,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Sim,Débito Automático,26.25,1988.05,Ativo,0,36,5098,
0594-UFTUL,1,United States,California,Mather,95655,"38.549822, -121.266725",38.549822,-121.266725,Male,Não,Sim,Sim,13,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Mensal,Sim,Boleto Impresso,19.85,252,Ativo,0,31,2928,
2480-JZOSN,1,United States,California,Woody,93287,"35.710244, -118.881679",35.710244,-118.881679,Female,Não,Sim,Não,1,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Mensal,Sim,Boleto Impresso,20.65,20.65,Ativo,0,59,4517,
8405-IGQFX,1,United States,California,Bridgeport,93517,"38.184583, -119.286558",38.184583,-119.286558,Female,Não,Não,Não,63,Sim,Não,Híbrido,Não,Não,Sim,Sim,Sim,Não,Anual,Sim,Cartão de Crédito Recorrente,90.05,5817,Ativo,0,45,4039,
4423-YLHDV,1,United States,California,Los Angeles,90059,"33.927254, -118.249826",33.927254,-118.249826,Female,Não,Sim,Não,21,Sim,Sim,Híbrido,Sim,Não,Sim,Não,Sim,Sim,Mensal,Sim,Débito Automático,104.4,2200.25,Desistente,1,67,5570,Attitude of support person
7030-FZTFM,1,United States,California,Gonzales,93926,"36.52588, -121.396719",36.52588,-121.396719,Male,Não,Sim,Sim,72,Sim,Sim,Híbrido,Não,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Não,Cartão de Crédito Recorrente,110.9,7922.75,Ativo,0,27,6444,
4361-FEBGN,1,United States,California,San Francisco,94131,"37.746699, -122.442833",37.746699,-122.442833,Male,Não,Não,Não,48,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Cartão de Crédito Recorrente,20.15,982.95,Ativo,0,43,4399,
5902-WBLSE,1,United States,California,Bonita,91902,"32.67117, -117.00232",32.67117,-117.00232,Female,Não,Sim,Sim,70,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,20.15,1411.2,Ativo,0,67,5219,
9848-JQJTX,1,United States,California,Venice,90291,"33.991782, -118.479229",33.991782,-118.479229,Male,Não,Não,Não,72,Sim,Sim,Híbrido,Não,Sim,Sim,Não,Sim,Sim,Plano de Ciclo Completo,Sim,Débito Automático,100.9,7459.05,Ativo,0,54,5781,
8096-LOIST,1,United States,California,Stirling City,95978,"39.904002, -121.527823",39.904002,-121.527823,Female,Não,Não,Não,19,Sim,Não,Presencial,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Boleto Digital,56.2,1093.4,Ativo,0,38,3384,
6352-TWCAU,1,United States,California,Fort Bidwell,96112,"41.932207, -120.135941",41.932207,-120.135941,Female,Não,Não,Não,35,Sim,Sim,Híbrido,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Boleto Digital,86.45,3029.1,Desistente,1,68,5874,Competitor made better offer
1642-HMARX,1,United States,California,Topanga,90290,"34.115192, -118.61017",34.115192,-118.61017,Female,Não,Sim,Não,68,Sim,Sim,Presencial,Sim,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Sim,Boleto Digital,91.7,6424.7,Ativo,0,77,4113,
2038-OEQZH,1,United States,California,Menifee,92584,"33.653338, -117.178271",33.653338,-117.178271,Male,Não,Não,Não,4,Sim,Não,Híbrido,Não,Não,Sim,Não,Não,Sim,Mensal,Não,Boleto Digital,86.05,308.1,Ativo,0,55,3653,
8679-LZBMD,1,United States,California,North Fork,93643,"37.244307, -119.470256",37.244307,-119.470256,Male,Não,Sim,Não,44,Sim,Não,Híbrido,Não,Não,Não,Não,Sim,Sim,Anual,Sim,Débito Automático,90.65,3974.15,Ativo,0,26,3786,
5073-WXOYN,1,United States,California,Belmont,94002,"37.509366, -122.306132",37.509366,-122.306132,Female,Não,Não,Não,60,Não,Não participa,Presencial,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,50.8,3027.4,Desistente,1,67,4941,Competitor offered more data
9392-XBGTD,1,United States,California,Aptos,95003,"37.013471, -121.877877",37.013471,-121.877877,Male,Não,Não,Sim,27,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Boleto Impresso,20.6,581.85,Ativo,0,56,2924,
4826-DXMUP,1,United States,California,Mountain View,94041,"37.388349, -122.075299",37.388349,-122.075299,Male,Não,Não,Sim,35,Sim,Não,Presencial,Não,Não,Não,Sim,Sim,Sim,Anual,Sim,Boleto Impresso,72.1,2495.15,Ativo,0,45,5510,
2623-DRYAM,1,United States,California,Jamul,91935,"32.695681, -116.798386",32.695681,-116.798386,Female,Não,Sim,Não,70,Sim,Sim,Híbrido,Não,Não,Sim,Não,Sim,Sim,Anual,Sim,Boleto Digital,101.75,7069.3,Ativo,0,47,5596,
5916-QEWPT,1,United States,California,Valley Village,91607,"34.165783, -118.399795",34.165783,-118.399795,Female,Não,Sim,Não,2,Sim,Não,Presencial,Não,Não,Sim,Não,Sim,Sim,Mensal,Não,Cartão de Crédito Recorrente,69.0,147.8,Ativo,0,29,2798,
4770-UEZOX,1,United States,California,Whitethorn,95589,"40.053159, -123.995867",40.053159,-123.995867,Male,Não,Não,Não,2,Sim,Não,Híbrido,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Boleto Digital,74.75,144.8,Ativo,0,34,4545,
2380-DAMQP,1,United States,California,La Palma,90623,"33.850504, -118.039892",33.850504,-118.039892,Female,Não,Sim,Não,72,Sim,Sim,Híbrido,Sim,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Não,Boleto Digital,115.15,8349.7,Ativo,0,67,4761,
5377-NDTOU,1,United States,California,San Pedro,90732,"33.744119, -118.31448",33.744119,-118.31448,Female,Não,Sim,Não,71,Sim,Sim,Presencial,Sim,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Não,Boleto Impresso,91.05,6293.75,Ativo,0,39,4644,
3838-OZURD,1,United States,California,Somes Bar,95568,"41.444606, -123.471895",41.444606,-123.471895,Male,Não,Sim,Não,66,Sim,Sim,Híbrido,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de Crédito Recorrente,105.0,7133.25,Desistente,1,96,5723,Competitor offered higher download speeds
3657-COGMW,1,United States,California,San Luis Obispo,93405,"35.236549, -120.727344",35.236549,-120.727344,Female,Sim,Não,Não,52,Sim,Sim,Híbrido,Sim,Sim,Sim,Não,Sim,Sim,Mensal,Não,Cartão de Crédito Recorrente,108.1,5839.3,Ativo,0,69,4251,
7691-KGKGP,1,United States,California,Aliso Viejo,92656,"33.571259, -117.731917",33.571259,-117.731917,Male,Não,Sim,Sim,53,Sim,Não,Presencial,Não,Sim,Não,Sim,Sim,Não,Mensal,Não,Cartão de Crédito Recorrente,65.0,3363.8,Ativo,0,30,5534,
5321-NTRKC,1,United States,California,Pebble Beach,93953,"36.587497, -121.944815",36.587497,-121.944815,Male,Não,Sim,Sim,66,Sim,Sim,Presencial,Não,Sim,Sim,Não,Sim,Sim,Plano de Ciclo Completo,Não,Débito Automático,79.85,5234.95,Ativo,0,56,6236,
9099-FTUHS,1,United States,California,Grass Valley,95945,"39.194539, -120.988066",39.194539,-120.988066,Female,Não,Não,Não,23,Sim,Sim,Presencial,Sim,Não,Não,Não,Não,Não,Mensal,Não,Boleto Digital,54.4,1249.25,Ativo,0,22,2989,
6110-OHIHY,1,United States,California,Burney,96013,"40.946785, -121.719489",40.946785,-121.719489,Male,Não,Não,Não,3,Sim,Não,Híbrido,Não,Não,Não,Não,Sim,Não,Mensal,Não,Boleto Digital,79.25,267.6,Desistente,1,89,4183,Competitor offered higher download speeds
4816-LXZYW,1,United States,California,Long Beach,90810,"33.819814, -118.222416",33.819814,-118.222416,Female,Não,Não,Não,23,Sim,Sim,Híbrido,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Boleto Digital,79.15,1676.95,Desistente,1,68,5216,Attitude of support person
9693-XMUOB,1,United States,California,Palo Alto,94304,"37.386978, -122.177746",37.386978,-122.177746,Male,Sim,Sim,Não,59,Não,Não participa,Presencial,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,50.25,2997.45,Ativo,0,27,5546,
3170-GWYKC,1,United States,California,Vernalis,95385,"37.609095, -121.263381",37.609095,-121.263381,Female,Não,Não,Não,60,Sim,Não,Híbrido,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito Automático,104.95,6236.75,Ativo,0,62,5926,
3086-RUCRN,1,United States,California,Paicines,95043,"36.525703, -120.952122",36.525703,-120.952122,Female,Não,Não,Não,66,Sim,Sim,Híbrido,Sim,Sim,Sim,Sim,Não,Sim,Mensal,Sim,Débito Automático,103.1,6595,Ativo,0,46,6183,
4957-TIALW,1,United States,California,Corona,92880,"33.918043, -117.617809",33.918043,-117.617809,Female,Não,Não,Não,15,Sim,Não,Presencial,Sim,Sim,Sim,Sim,Não,Não,Anual,Não,Cartão de Crédito Recorrente,65.6,1010,Ativo,0,28,2976,
1215-FIGMP,1,United States,California,Los Angeles,90077,"34.102084, -118.451629",34.102084,-118.451629,Male,Não,Não,Não,60,Sim,Sim,Híbrido,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Débito Automático,89.9,5450.7,Ativo,0,35,6292,
6603-QWSPR,1,United States,California,Galt,95632,"38.274451, -121.259201",38.274451,-121.259201,Female,Não,Não,Não,46,Sim,Não,Híbrido,Não,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Sim,Débito Automático,104.4,4904.2,Ativo,0,24,4190,
2869-ADAWR,1,United States,California,Sutter Creek,95685,"38.432145, -120.77069",38.432145,-120.77069,Female,Não,Não,Não,45,Sim,Sim,Híbrido,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Cartão de Crédito Recorrente,89.3,4016.85,Desistente,1,97,4880,Poor expertise of online support
5583-EJXRD,1,United States,California,San Diego,92127,"33.017518, -117.118456",33.017518,-117.118456,Male,Não,Sim,Sim,44,Não,Não participa,Presencial,Sim,Sim,Sim,Sim,Não,Sim,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,54.05,2375.2,Ativo,0,68,4896,
8631-WUXGY,1,United States,California,Magalia,95954,"39.933852, -121.584371",39.933852,-121.584371,Female,Não,Não,Sim,46,Sim,Não,Híbrido,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Boleto Digital,99.8,4391.25,Ativo,0,46,2405,
3372-CDXFJ,1,United States,California,San Quentin,94964,"37.942551, -122.491642",37.942551,-122.491642,Male,Não,Sim,Sim,13,Sim,Sim,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Anual,Não,Débito Automático,24.5,343.6,Ativo,0,59,5077,
5375-XLDOF,1,United States,California,Calipatria,92233,"33.143826, -115.497485",33.143826,-115.497485,Male,Não,Sim,Sim,69,Sim,Sim,Híbrido,Sim,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Sim,Débito Automático,114.35,7665.8,Ativo,0,51,6082,
3551-HUAZH,1,United States,California,Brownsville,95919,"39.440687, -121.263583",39.440687,-121.263583,Male,Sim,Não,Não,1,Sim,Sim,Híbrido,Não,Não,Não,Não,Não,Não,Mensal,Sim,Boleto Digital,74.4,74.4,Desistente,1,89,3429,Price too high
8357-EQXFO,1,United States,California,Union City,94587,"37.59485, -122.051521",37.59485,-122.051521,Female,Não,Não,Não,7,Sim,Não,Híbrido,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Boleto Digital,95.35,660.9,Desistente,1,92,3077,Competitor made better offer
0114-IGABW,1,United States,California,Cambria,93428,"35.591387, -121.032256",35.591387,-121.032256,Female,Não,Sim,Não,71,Não,Não participa,Presencial,Não,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Não,Débito Automático,58.25,4145.9,Ativo,0,76,5224,
7552-KEYGT,1,United States,California,Platina,96076,"40.367964, -122.937379",40.367964,-122.937379,Male,Não,Sim,Não,27,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Débito Automático,19.55,520.55,Ativo,0,44,4430,
8659-HDIYE,1,United States,California,Los Angeles,90067,"34.057496, -118.413959",34.057496,-118.413959,Female,Sim,Não,Não,64,Sim,Sim,Presencial,Não,Sim,Sim,Sim,Não,Sim,Mensal,Não,Cartão de Crédito Recorrente,74.65,4869.35,Ativo,0,58,5113,
5930-GBIWP,1,United States,California,Doyle,96109,"40.012675, -120.101857",40.012675,-120.101857,Male,Não,Não,Não,69,Sim,Sim,Presencial,Sim,Sim,Sim,Sim,Não,Sim,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,81.5,5553.25,Ativo,0,45,5286,
7310-EGVHZ,1,United States,California,Los Angeles,90036,"34.070291, -118.349191",34.070291,-118.349191,Male,Não,Não,Não,1,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Mensal,Não,Débito Automático,20.2,20.2,Ativo,0,77,5526,
6289-CPNLD,1,United States,California,Temecula,92591,"33.540604, -117.10909",33.540604,-117.10909,Male,Não,Sim,Não,33,Sim,Não,Presencial,Não,Não,Sim,Sim,Sim,Sim,Anual,Sim,Boleto Impresso,73.9,2405.05,Desistente,1,73,5374,Attitude of service provider
0375-HVGXO,1,United States,California,Los Angeles,90045,"33.954017, -118.402447",33.954017,-118.402447,Female,Não,Não,Não,1,Não,Não participa,Presencial,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Boleto Digital,34.7,34.7,Desistente,1,81,4476,Don't know
4716-HHKQH,1,United States,California,Pomona,91767,"34.083086, -117.737997",34.083086,-117.737997,Male,Sim,Sim,Não,20,Sim,Sim,Híbrido,Não,Sim,Não,Sim,Sim,Sim,Mensal,Não,Boleto Digital,107.05,2172.05,Ativo,0,65,5328,
1583-IHQZE,1,United States,California,Camarillo,93010,"34.227846, -119.079903",34.227846,-119.079903,Male,Não,Não,Não,12,Sim,Sim,Híbrido,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Boleto Impresso,112.95,1384.75,Desistente,1,97,3965,Attitude of support person
3898-BSJYF,1,United States,California,Herlong,96113,"40.198234, -120.18089",40.198234,-120.18089,Female,Não,Não,Sim,10,Sim,Sim,Presencial,Sim,Não,Sim,Sim,Não,Sim,Anual,Não,Cartão de Crédito Recorrente,73.55,693.3,Ativo,0,29,4434,
6689-VRRTK,1,United States,California,Camarillo,93010,"34.227846, -119.079903",34.227846,-119.079903,Female,Sim,Não,Não,44,Sim,Sim,Híbrido,Sim,Sim,Sim,Não,Sim,Sim,Anual,Sim,Cartão de Crédito Recorrente,109.8,4860.35,Ativo,0,35,5720,
6339-DKLMK,1,United States,California,Corona,92879,"33.893823, -117.531446",33.893823,-117.531446,Female,Não,Não,Não,13,Não,Não participa,Presencial,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Boleto Digital,31.65,389.95,Ativo,0,49,4959,
0621-TSSMU,1,United States,California,Maywood,90270,"33.988572, -118.186565",33.988572,-118.186565,Male,Não,Sim,Não,56,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Anual,Não,Cartão de Crédito Recorrente,19.95,1126.75,Ativo,0,65,4838,
0754-UKWQP,1,United States,California,Cool,95614,"38.880622, -120.973865",38.880622,-120.973865,Male,Não,Não,Não,2,Sim,Não,Híbrido,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Boleto Digital,95.85,197.7,Desistente,1,66,3790,Service dissatisfaction
5935-FCCNB,1,United States,California,Downey,90242,"33.921793, -118.140588",33.921793,-118.140588,Female,Sim,Não,Não,17,Sim,Sim,Híbrido,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,94.2,1608.15,Ativo,0,54,4425,
