Matricula_Aluno,Situacao_Atual,Desistencia_Real,Probabilidade_Churn,Predicao_Churn,Meses_na_Escola,Modalidade_Ensino,Valor_Mensalidade,Tipo_Contrato_Matricula,Forma_Pagamento_Mensalidade,Genero,Aluno_Bolsista,Participa_Atividade_Extra,Apoio_Psicopedagogico,Reforco_Escolar,Risco_de_Desistencia,Nivel_Risco,Ranking
5260-UMPWX,Ativo,0,0.005490324679689504,0,26,EAD,20.25,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,43,MUITO BAIXO,1541
1385-TQOZW,Ativo,0,0.005490324679689504,0,9,EAD,20.45,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,41,MUITO BAIXO,1542
6743-HHQPF,Ativo,0,0.005490324679689504,0,42,Presencial,25.1,Mensal,Cartão de Crédito Recorrente,Male,Não,Não,Não,Não,57,MUITO BAIXO,1543
6692-YQHXC,Ativo,0,0.005490324679689504,0,16,Híbrido,69.95,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,54,MUITO BAIXO,1544
8735-DCXNF,Ativo,0,0.005490324679689504,0,10,Presencial,54.95,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Não,26,MUITO BAIXO,1545
8908-SLFCJ,Ativo,0,0.005490324679689504,0,21,EAD,20.85,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,35,MUITO BAIXO,1546
3178-CIFOT,Ativo,0,0.005490324679689504,0,23,EAD,19.65,Anual,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,58,MUITO BAIXO,1547
3470-OBUET,Ativo,0,0.0054895210586861105,0,67,Presencial,74.0,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Sim,Sim,35,MUITO BAIXO,1548
2750-BJLSB,Ativo,0,0.005485865759143227,0,47,Híbrido,103.7,Anual,Boleto Digital,Female,Não,Sim,Sim,Não,20,MUITO BAIXO,1549
1545-ACTAS,Ativo,0,0.00548584859300518,0,48,Híbrido,99.7,Anual,Débito Automático,Female,Não,Sim,Sim,Não,29,MUITO BAIXO,1550
7398-SKNQZ,Ativo,0,0.005485237451121591,0,3,Híbrido,94.9,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,58,MUITO BAIXO,1551
9398-MMQTO,Ativo,0,0.005477056303557407,0,3,Híbrido,74.45,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Sim,61,MUITO BAIXO,1552
2664-XJZNO,Ativo,0,0.005471431445860743,0,72,Híbrido,104.9,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Não,35,MUITO BAIXO,1553
4450-YOOHP,Ativo,0,0.0054713848628837325,0,39,Presencial,50.65,Mensal,Cartão de Crédito Recorrente,Female,Não,Não,Não,Não,31,MUITO BAIXO,1554
0295-QVKPB,Ativo,0,0.005470219394393873,0,5,Presencial,63.95,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,42,MUITO BAIXO,1555
6507-DTJZV,Ativo,0,0.00545831467273938,0,13,Presencial,66.4,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,43,MUITO BAIXO,1556
3701-SFMUH,Ativo,0,0.00545831467273938,0,7,Presencial,69.7,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Não,50,MUITO BAIXO,1557
9385-NXKDA,Ativo,0,0.005453803208156881,0,72,Presencial,82.65,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Sim,Sim,42,MUITO BAIXO,1558
1264-FUHCX,Ativo,0,0.005452382921573775,0,49,Presencial,56.3,Anual,Cartão de Crédito Recorrente,Female,Não,Não,Não,Sim,20,MUITO BAIXO,1559
3174-AKMAS,Ativo,0,0.005452365859634389,0,46,Presencial,64.2,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Sim,41,MUITO BAIXO,1560
2253-KPMNB,Ativo,0,0.005450660317343885,0,69,Presencial,46.25,Plano de Ciclo Completo,Débito Automático,Female,Não,Não,Sim,Sim,33,MUITO BAIXO,1561
7148-XZPHA,Ativo,0,0.005450660317343885,0,55,Híbrido,79.4,Mensal,Boleto Digital,Male,Não,Sim,Não,Sim,32,MUITO BAIXO,1562
5150-ITWWB,Ativo,0,0.005448952100535904,0,3,Híbrido,94.85,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,40,MUITO BAIXO,1563
4927-WWOOZ,Ativo,0,0.005448952100535904,0,2,Híbrido,91.45,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,32,MUITO BAIXO,1564
1004-NOZNR,Ativo,0,0.005442309288286032,0,56,Híbrido,94.8,Anual,Cartão de Crédito Recorrente,Male,Sim,Sim,Sim,Não,59,MUITO BAIXO,1565
2897-DOVND,Ativo,0,0.005442139740780046,0,2,Híbrido,69.8,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,26,MUITO BAIXO,1566
6689-VRRTK,Ativo,0,0.005442135797242087,0,44,Híbrido,109.8,Anual,Cartão de Crédito Recorrente,Female,Sim,Sim,Sim,Sim,35,MUITO BAIXO,1567
0345-XMMUG,Ativo,0,0.005442135797242087,0,46,Híbrido,108.9,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Sim,45,MUITO BAIXO,1568
2325-NBPZG,Ativo,0,0.005442122710718869,0,3,Híbrido,74.55,Mensal,Boleto Digital,Female,Não,Sim,Sim,Não,58,MUITO BAIXO,1569
5630-AHZIL,Ativo,0,0.005442122710718869,0,3,Presencial,64.5,Mensal,Débito Automático,Female,Não,Sim,Sim,Não,54,MUITO BAIXO,1570
7245-NIIWQ,Ativo,0,0.005442122710718869,0,3,Híbrido,69.85,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,40,MUITO BAIXO,1571
6077-BDPXA,Ativo,0,0.005442122710718869,0,3,Híbrido,70.15,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,26,MUITO BAIXO,1572
4741-WWJQZ,Ativo,0,0.005442122710718869,0,2,Híbrido,80.15,Mensal,Boleto Digital,Female,Não,Sim,Sim,Não,26,MUITO BAIXO,1573
9633-XQABV,Ativo,0,0.005442122710718869,0,3,Híbrido,70.25,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,46,MUITO BAIXO,1574
0455-XFASS,Ativo,0,0.005442122710718869,0,3,Híbrido,69.55,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,59,MUITO BAIXO,1575
9799-CAYJJ,Ativo,0,0.005442122710718869,0,2,Híbrido,69.3,Mensal,Boleto Digital,Female,Sim,Sim,Não,Não,58,MUITO BAIXO,1576
0961-ZWLVI,Ativo,0,0.005441948160697003,0,49,Híbrido,109.2,Anual,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Sim,44,MUITO BAIXO,1577
4332-MUOEZ,Ativo,0,0.005438132469920183,0,20,Híbrido,94.3,Anual,Cartão de Crédito Recorrente,Male,Sim,Sim,Sim,Não,32,MUITO BAIXO,1578
6582-PLFUU,Ativo,0,0.005429740048100883,0,51,EAD,19.55,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Não se aplica,Não se aplica,40,MUITO BAIXO,1579
6340-DACFT,Ativo,0,0.005429740048100883,0,50,EAD,20.55,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,34,MUITO BAIXO,1580
9814-AOUDH,Ativo,0,0.005429740048100883,0,53,EAD,19.5,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Não se aplica,Não se aplica,57,MUITO BAIXO,1581
1568-LJSZU,Ativo,0,0.00542811675480618,0,68,Presencial,92.2,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Sim,43,MUITO BAIXO,1582
6242-SGYTS,Ativo,0,0.005428099768387565,0,62,Híbrido,94.95,Anual,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Sim,27,MUITO BAIXO,1583
4718-WXBGI,Ativo,0,0.005428099768387565,0,72,Presencial,91.95,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Sim,30,MUITO BAIXO,1584
6176-YJWAS,Ativo,0,0.005427912613142194,0,72,Híbrido,97.95,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Sim,22,MUITO BAIXO,1585
9495-REDIY,Ativo,0,0.0054222064478075685,0,25,Presencial,40.65,Anual,Cartão de Crédito Recorrente,Male,Não,Não,Sim,Não,29,MUITO BAIXO,1586
8050-WYBND,Ativo,0,0.005422189479783477,0,22,Presencial,49.45,Anual,Cartão de Crédito Recorrente,Female,Não,Não,Não,Não,28,MUITO BAIXO,1587
4003-FUSHP,Ativo,0,0.005422189479783477,0,19,Presencial,61.55,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,60,MUITO BAIXO,1588
7018-WBJNK,Ativo,0,0.005422189479783477,0,13,Híbrido,78.3,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,26,MUITO BAIXO,1589
2320-SLKMB,Ativo,0,0.005422189479783477,0,26,Presencial,44.45,Mensal,Cartão de Crédito Recorrente,Female,Não,Não,Não,Não,26,MUITO BAIXO,1590
9481-SFCQY,Ativo,0,0.005422189479783477,0,14,Presencial,59.8,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Não,51,MUITO BAIXO,1591
0013-MHZWF,Ativo,0,0.005422189479783477,0,9,Presencial,69.4,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Não,55,MUITO BAIXO,1592
5821-MMEIL,Ativo,0,0.00541900653445358,0,57,EAD,19.9,Plano de Ciclo Completo,Débito Automático,Female,Não,Sim,Não se aplica,Não se aplica,48,MUITO BAIXO,1593
0780-XNZFN,Ativo,0,0.00541900653445358,0,57,EAD,20.65,Plano de Ciclo Completo,Débito Automático,Male,Não,Sim,Não se aplica,Não se aplica,49,MUITO BAIXO,1594
5656-JAMLX,Ativo,0,0.00541900653445358,0,62,EAD,19.85,Plano de Ciclo Completo,Débito Automático,Male,Não,Sim,Não se aplica,Não se aplica,45,MUITO BAIXO,1595
0847-HGRML,Ativo,0,0.00541900653445358,0,62,EAD,20.0,Plano de Ciclo Completo,Débito Automático,Male,Não,Sim,Não se aplica,Não se aplica,37,MUITO BAIXO,1596
6383-ZTSIW,Ativo,0,0.005416167538887956,0,39,Híbrido,99.1,Anual,Boleto Impresso,Female,Sim,Sim,Sim,Sim,22,MUITO BAIXO,1597
2257-BOVXD,Ativo,0,0.005409860890897534,0,14,Presencial,66.6,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,36,MUITO BAIXO,1598
5092-STPKP,Ativo,0,0.005406855165065132,0,24,Presencial,56.35,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Sim,Não,42,MUITO BAIXO,1599
4032-RMHCI,Ativo,0,0.005406855165065132,0,41,Presencial,35.4,Anual,Cartão de Crédito Recorrente,Female,Não,Não,Sim,Não,43,MUITO BAIXO,1600
7594-LZNWR,Ativo,0,0.005406855165065132,0,34,Híbrido,69.15,Mensal,Cartão de Crédito Recorrente,Male,Sim,Sim,Não,Não,63,MUITO BAIXO,1601
2509-TFPJU,Ativo,0,0.005405997962973117,0,72,EAD,25.75,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Não se aplica,Não se aplica,24,MUITO BAIXO,1602
2696-RZVZW,Ativo,0,0.0054059810453954745,0,68,EAD,25.05,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Não se aplica,Não se aplica,24,MUITO BAIXO,1603
9067-YGSCA,Ativo,0,0.0054059810453954745,0,70,EAD,26.05,Anual,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,21,MUITO BAIXO,1604
7010-BRBUU,Ativo,0,0.0054059810453954745,0,72,EAD,24.1,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Não se aplica,Não se aplica,23,MUITO BAIXO,1605
0234-TEVTT,Ativo,0,0.005405146627498789,0,48,Presencial,45.0,Anual,Cartão de Crédito Recorrente,Female,Não,Não,Sim,Não,21,MUITO BAIXO,1606
3858-XHYJO,Ativo,0,0.005403912406104179,0,40,Híbrido,105.75,Anual,Débito Automático,Female,Não,Sim,Sim,Não,41,MUITO BAIXO,1607
4238-JSSWH,Ativo,0,0.005403912406104179,0,35,Híbrido,102.05,Mensal,Débito Automático,Female,Sim,Sim,Não,Não,35,MUITO BAIXO,1608
6481-ESCNL,Ativo,0,0.005403912406104179,0,29,Híbrido,100.55,Mensal,Débito Automático,Female,Não,Sim,Não,Não,53,MUITO BAIXO,1609
1552-AAGRX,Ativo,0,0.005403912406104179,0,30,Híbrido,106.4,Mensal,Débito Automático,Female,Não,Sim,Sim,Não,35,MUITO BAIXO,1610
4998-IKFSE,Ativo,0,0.005403912406104179,0,30,Híbrido,100.45,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,32,MUITO BAIXO,1611
5110-CHOPY,Ativo,0,0.005400050130653134,0,60,Presencial,53.6,Plano de Ciclo Completo,Boleto Digital,Female,Não,Não,Sim,Não,39,MUITO BAIXO,1612
5356-CSVSQ,Ativo,0,0.0053980734011533325,0,3,Presencial,64.6,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,24,MUITO BAIXO,1613
1455-HFBXA,Ativo,0,0.0053929426591100005,0,52,Híbrido,91.6,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Não,62,MUITO BAIXO,1614
5214-NLTIT,Ativo,0,0.0053929426591100005,0,72,Híbrido,90.8,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,30,MUITO BAIXO,1615
2669-OIDSD,Ativo,0,0.005391094215445737,0,48,Híbrido,100.05,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Não,34,MUITO BAIXO,1616
9943-VSZUV,Ativo,0,0.005387431132505253,0,67,Híbrido,75.7,Mensal,Boleto Impresso,Male,Sim,Sim,Não,Não,30,MUITO BAIXO,1617
5913-INRQV,Ativo,0,0.005386346566177826,0,34,Híbrido,90.15,Anual,Boleto Impresso,Male,Sim,Sim,Sim,Não,38,MUITO BAIXO,1618
3197-ARFOY,Ativo,0,0.005380336620273602,0,19,Híbrido,105.0,Mensal,Boleto Impresso,Female,Sim,Sim,Sim,Sim,59,MUITO BAIXO,1619
5855-EIBDE,Ativo,0,0.0053777637630281015,0,49,Híbrido,106.65,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Sim,Sim,57,MUITO BAIXO,1620
6773-LQTVT,Ativo,0,0.005376359178624038,0,29,Presencial,35.65,Mensal,Boleto Impresso,Female,Sim,Não,Não,Sim,46,MUITO BAIXO,1621
5816-SCGFC,Ativo,0,0.005376342353296893,0,7,Presencial,51.3,Mensal,Boleto Impresso,Female,Sim,Sim,Não,Sim,46,MUITO BAIXO,1622
3717-LNXKW,Ativo,0,0.005376029090417125,0,38,Híbrido,91.7,Mensal,Débito Automático,Male,Não,Sim,Sim,Não,36,MUITO BAIXO,1623
6198-RTPMF,Ativo,0,0.005376029090417125,0,17,Híbrido,92.6,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,32,MUITO BAIXO,1624
7011-CVEUC,Ativo,0,0.005374030175115286,0,25,Híbrido,95.7,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,34,MUITO BAIXO,1625
4647-MUZON,Ativo,0,0.005374013357037381,0,18,Híbrido,95.95,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Não,20,MUITO BAIXO,1626
3071-MVJCD,Ativo,0,0.005370774692751949,0,72,Presencial,82.3,Plano de Ciclo Completo,Débito Automático,Male,Não,Sim,Sim,Sim,60,MUITO BAIXO,1627
5671-RQRLP,Ativo,0,0.005370217152156455,0,70,Híbrido,75.65,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Sim,Sim,Não,Não,30,MUITO BAIXO,1628
8807-OPMBM,Ativo,0,0.005370217152156455,0,55,EAD,25.65,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,42,MUITO BAIXO,1629
9430-NKQLY,Ativo,0,0.005370217152156455,0,72,EAD,25.1,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Não se aplica,Não se aplica,52,MUITO BAIXO,1630
4121-AGSIN,Ativo,0,0.005370217152156455,0,58,EAD,24.5,Anual,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,47,MUITO BAIXO,1631
8338-QIUNR,Ativo,0,0.005370217152156455,0,72,Presencial,66.5,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Não,49,MUITO BAIXO,1632
9964-WBQDJ,Ativo,0,0.005370217152156455,0,71,EAD,24.4,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,56,MUITO BAIXO,1633
4324-AHJKS,Ativo,0,0.0053681883894205395,0,5,Presencial,55.8,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Sim,Não,23,MUITO BAIXO,1634
7714-YXSMB,Ativo,0,0.005368178924188644,0,26,Híbrido,100.5,Mensal,Débito Automático,Female,Não,Sim,Não,Não,50,MUITO BAIXO,1635
6851-WEFYX,Ativo,0,0.005368178924188644,0,35,Híbrido,100.8,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,38,MUITO BAIXO,1636
8982-NHAVY,Ativo,0,0.0053681621243234535,0,27,Híbrido,100.5,Anual,Débito Automático,Male,Não,Sim,Não,Não,50,MUITO BAIXO,1637
6733-LRIZX,Ativo,0,0.0053681621243234535,0,35,Híbrido,108.95,Plano de Ciclo Completo,Boleto Digital,Male,Não,Sim,Sim,Não,32,MUITO BAIXO,1638
7748-UMTRK,Ativo,0,0.0053681621243234535,0,30,Híbrido,101.3,Mensal,Boleto Digital,Female,Sim,Sim,Não,Não,34,MUITO BAIXO,1639
3588-WSTTJ,Ativo,0,0.0053681621243234535,0,35,Híbrido,99.05,Mensal,Boleto Digital,Female,Sim,Sim,Sim,Não,63,MUITO BAIXO,1640
2832-KJCRD,Ativo,0,0.0053681621243234535,0,38,Híbrido,103.65,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,47,MUITO BAIXO,1641
0177-PXBAT,Ativo,0,0.0053681621243234535,0,33,Híbrido,109.9,Mensal,Débito Automático,Male,Sim,Sim,Sim,Não,59,MUITO BAIXO,1642
3001-UNBTL,Ativo,0,0.0053681621243234535,0,29,Híbrido,103.95,Mensal,Boleto Digital,Male,Sim,Sim,Não,Não,58,MUITO BAIXO,1643
1482-OXZSY,Ativo,0,0.0053681621243234535,0,30,Híbrido,100.4,Mensal,Débito Automático,Male,Não,Sim,Sim,Não,37,MUITO BAIXO,1644
1666-JXLKU,Ativo,0,0.0053681621243234535,0,37,Híbrido,100.05,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,52,MUITO BAIXO,1645
4298-OYIFC,Ativo,0,0.0053681621243234535,0,15,Híbrido,103.45,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,53,MUITO BAIXO,1646
2800-QQUSO,Ativo,0,0.0053681621243234535,0,42,Híbrido,100.3,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,33,MUITO BAIXO,1647
6116-RFVHN,Ativo,0,0.0053681621243234535,0,34,Híbrido,100.45,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,42,MUITO BAIXO,1648
9356-AXGMP,Ativo,0,0.0053681621243234535,0,38,Híbrido,110.7,Anual,Boleto Digital,Male,Não,Sim,Sim,Não,60,MUITO BAIXO,1649
6362-QHAFM,Ativo,0,0.0053681621243234535,0,42,Híbrido,108.3,Anual,Boleto Digital,Male,Não,Sim,Não,Não,63,MUITO BAIXO,1650
7789-HKSBS,Ativo,0,0.0053681621243234535,0,42,Híbrido,105.2,Anual,Débito Automático,Female,Sim,Sim,Sim,Não,36,MUITO BAIXO,1651
0420-HLGXF,Ativo,0,0.0053681621243234535,0,39,Híbrido,99.75,Mensal,Boleto Digital,Female,Sim,Sim,Não,Não,58,MUITO BAIXO,1652
0379-DJQHR,Ativo,0,0.005365339740707718,0,67,Presencial,81.35,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Sim,51,MUITO BAIXO,1653
0654-PQKDW,Ativo,0,0.005364308474574688,0,62,Presencial,70.75,Anual,Débito Automático,Female,Não,Sim,Sim,Não,24,MUITO BAIXO,1654
1837-YQUCE,Ativo,0,0.005364308474574688,0,70,Presencial,58.35,Plano de Ciclo Completo,Débito Automático,Female,Não,Não,Sim,Não,55,MUITO BAIXO,1655
0411-EZJZE,Ativo,0,0.005362361539798947,0,3,Presencial,60.25,Mensal,Boleto Digital,Female,Não,Sim,Não,Não,31,MUITO BAIXO,1656
9571-EDEBV,Ativo,0,0.005362340811342033,0,71,Híbrido,98.65,Anual,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,28,MUITO BAIXO,1657
2077-DDHJK,Ativo,0,0.005351492121461566,0,68,Presencial,70.9,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Sim,Sim,50,MUITO BAIXO,1658
6177-PEVRA,Ativo,0,0.005350666068731976,0,48,Presencial,55.5,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Sim,Sim,48,MUITO BAIXO,1659
6810-VCAEX,Ativo,0,0.005350666068731976,0,47,Presencial,39.65,Anual,Cartão de Crédito Recorrente,Female,Não,Não,Sim,Sim,26,MUITO BAIXO,1660
6510-UPNKS,Ativo,0,0.0053460529083602165,0,23,EAD,24.8,Anual,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,46,MUITO BAIXO,1661
3472-QPRCH,Ativo,0,0.0053460529083602165,0,40,EAD,25.25,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Não se aplica,Não se aplica,53,MUITO BAIXO,1662
3898-BSJYF,Ativo,0,0.0053460529083602165,0,10,Presencial,73.55,Anual,Cartão de Crédito Recorrente,Female,Não,Sim,Sim,Não,29,MUITO BAIXO,1663
6115-ZTBFQ,Ativo,0,0.005345471994414713,0,72,Presencial,65.5,Plano de Ciclo Completo,Débito Automático,Female,Não,Não,Sim,Sim,25,MUITO BAIXO,1664
0556-FJEGU,Ativo,0,0.005345471994414709,0,58,Presencial,70.1,Plano de Ciclo Completo,Débito Automático,Male,Não,Sim,Não,Sim,58,MUITO BAIXO,1665
6537-OTKMY,Ativo,0,0.005340629937870259,0,15,Presencial,50.75,Anual,Boleto Digital,Male,Não,Não,Não,Não,63,MUITO BAIXO,1666
6576-FBXOJ,Ativo,0,0.005340629937870259,0,17,Presencial,54.6,Anual,Boleto Digital,Male,Não,Não,Não,Não,22,MUITO BAIXO,1667
4338-EYCER,Ativo,0,0.005340629937870259,0,21,Presencial,54.6,Mensal,Débito Automático,Male,Não,Sim,Não,Não,43,MUITO BAIXO,1668
1337-BOZWO,Ativo,0,0.005339593166323203,0,18,Presencial,46.4,Anual,Cartão de Crédito Recorrente,Male,Não,Não,Não,Sim,35,MUITO BAIXO,1669
8417-GSODA,Ativo,0,0.005338718943160538,0,28,Híbrido,92.2,Anual,Débito Automático,Male,Não,Sim,Não,Não,26,MUITO BAIXO,1670
7268-IGMFD,Ativo,0,0.005338718943160538,0,18,Híbrido,93.9,Mensal,Débito Automático,Male,Sim,Sim,Não,Não,47,MUITO BAIXO,1671
6968-MHOMU,Ativo,0,0.00533790661980288,0,58,Presencial,45.0,Anual,Cartão de Crédito Recorrente,Male,Não,Não,Não,Não,55,MUITO BAIXO,1672
9074-KGVOX,Ativo,0,0.00533790661980288,0,50,Presencial,39.45,Mensal,Cartão de Crédito Recorrente,Male,Não,Não,Sim,Não,27,MUITO BAIXO,1673
2673-CXQEU,Ativo,0,0.005335277715892318,0,56,Híbrido,110.5,Anual,Boleto Digital,Female,Sim,Sim,Sim,Sim,21,MUITO BAIXO,1674
7041-TXQJH,Ativo,0,0.005333809497814616,0,37,Presencial,40.2,Mensal,Cartão de Crédito Recorrente,Female,Não,Não,Não,Não,20,MUITO BAIXO,1675
1025-FALIX,Ativo,0,0.005333809497814616,0,26,Híbrido,69.05,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não,Não,23,MUITO BAIXO,1676
9348-YVOMK,Ativo,0,0.005332689866736681,0,4,Presencial,44.8,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,39,MUITO BAIXO,1677
9194-GFVOI,Ativo,0,0.005328190150430605,0,42,Presencial,84.35,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Female,Não,Sim,Sim,Não,59,MUITO BAIXO,1678
4522-XRWWI,Ativo,0,0.005328007731303108,0,42,Presencial,80.45,Anual,Cartão de Crédito Recorrente,Male,Não,Sim,Sim,Não,62,MUITO BAIXO,1679
3318-NMQXL,Ativo,0,0.005325101837138487,0,3,Híbrido,92.0,Mensal,Boleto Digital,Male,Não,Sim,Não,Não,42,MUITO BAIXO,1680
2176-LVPNX,Ativo,0,0.005322686238156375,0,71,Presencial,89.85,Plano de Ciclo Completo,Boleto Impresso,Female,Sim,Sim,Sim,Sim,33,MUITO BAIXO,1681
1093-YSWCA,Ativo,0,0.0053210661930175015,0,11,EAD,19.55,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Não se aplica,Não se aplica,50,MUITO BAIXO,1682
9442-JTWDL,Ativo,0,0.0053210661930175015,0,11,EAD,20.05,Anual,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,48,MUITO BAIXO,1683
7328-OWMOM,Ativo,0,0.0053210661930175015,0,31,EAD,20.1,Anual,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,30,MUITO BAIXO,1684
0357-NVCRI,Ativo,0,0.0053210661930175015,0,25,EAD,20.05,Mensal,Cartão de Crédito Recorrente,Female,Não,Sim,Não se aplica,Não se aplica,24,MUITO BAIXO,1685
8075-GXIUB,Ativo,0,0.0053210661930175015,0,9,EAD,19.85,Anual,Cartão de Crédito Recorrente,Male,Sim,Sim,Não se aplica,Não se aplica,59,MUITO BAIXO,1686
6551-VLJMV,Ativo,0,0.0053210661930175015,0,34,EAD,20.05,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Não se aplica,Não se aplica,29,MUITO BAIXO,1687
6479-SZPLM,Ativo,0,0.0053210661930175015,0,36,EAD,19.45,Plano de Ciclo Completo,Cartão de Crédito Recorrente,Male,Não,Sim,Não se aplica,Não se aplica,39,MUITO BAIXO,1688
7020-OZKXZ,Ativo,0,0.0053210661930175015,0,9,Híbrido,75.5,Mensal,Cartão de Crédito Recorrente,Female,Sim,Sim,Não,Não,30,MUITO BAIXO,1689
7531-GQHME,Ativo,0,0.0053210661930175015,0,12,EAD,20.05,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não se aplica,Não se aplica,56,MUITO BAIXO,1690
8735-IJJEG,Ativo,0,0.0053210661930175015,0,14,Presencial,50.2,Mensal,Cartão de Crédito Recorrente,Male,Não,Sim,Não,Não,48,MUITO BAIXO,1691
4987-GQWPO,Ativo,0,0.0053210661930175015,0,17,Presencial,25.1,Mensal,Cartão de Crédito Recorrente,Male,Não,Não,Não,Não,33,MUITO BAIXO,1692
